theta1,theta2,x,y
-7.382812500000000000e+01,2.695312500000000000e+01,5.190000000000000000e+02,1.220000000000000000e+02
-5.507812500000000000e+01,2.724609375000000000e+01,4.820000000000000000e+02,5.200000000000000000e+01
-3.486328125000000000e+01,2.724609375000000000e+01,4.220000000000000000e+02,0.000000000000000000e+00
-1.347656250000000000e+01,2.724609375000000000e+01,3.890000000000000000e+02,3.560000000000000000e+02
7.031250000000000000e+00,2.724609375000000000e+01,3.890000000000000000e+02,3.560000000000000000e+02
2.724609375000000000e+01,2.753906250000000000e+01,1.820000000000000000e+02,0.000000000000000000e+00
4.746093750000000000e+01,2.724609375000000000e+01,1.190000000000000000e+02,3.200000000000000000e+01
6.708984375000000000e+01,2.724609375000000000e+01,8.200000000000000000e+01,1.000000000000000000e+02
8.554687500000000000e+01,2.724609375000000000e+01,7.300000000000000000e+01,1.780000000000000000e+02
-8.583984375000000000e+01,3.603515625000000000e+01,5.200000000000000000e+02,1.680000000000000000e+02
-7.382812500000000000e+01,3.603515625000000000e+01,5.090000000000000000e+02,1.200000000000000000e+02
-5.419921875000000000e+01,3.603515625000000000e+01,4.700000000000000000e+02,4.800000000000000000e+01
-3.486328125000000000e+01,3.662109375000000000e+01,4.150000000000000000e+02,0.000000000000000000e+00
-1.347656250000000000e+01,3.662109375000000000e+01,3.420000000000000000e+02,0.000000000000000000e+00
7.031250000000000000e+00,3.662109375000000000e+01,2.660000000000000000e+02,0.000000000000000000e+00
2.724609375000000000e+01,3.662109375000000000e+01,1.820000000000000000e+02,0.000000000000000000e+00
4.687500000000000000e+01,3.662109375000000000e+01,1.200000000000000000e+02,3.000000000000000000e+01
6.650390625000000000e+01,3.662109375000000000e+01,8.200000000000000000e+01,9.800000000000000000e+01
8.583984375000000000e+01,3.662109375000000000e+01,7.500000000000000000e+01,1.760000000000000000e+02
-8.583984375000000000e+01,4.599609375000000000e+01,5.060000000000000000e+02,1.660000000000000000e+02
-7.382812500000000000e+01,4.599609375000000000e+01,4.960000000000000000e+02,1.200000000000000000e+02
-5.390625000000000000e+01,4.599609375000000000e+01,4.610000000000000000e+02,4.800000000000000000e+01
-3.486328125000000000e+01,4.628906250000000000e+01,4.090000000000000000e+02,0.000000000000000000e+00
-1.347656250000000000e+01,4.628906250000000000e+01,3.410000000000000000e+02,0.000000000000000000e+00
7.031250000000000000e+00,4.628906250000000000e+01,2.660000000000000000e+02,0.000000000000000000e+00
2.695312500000000000e+01,4.628906250000000000e+01,1.840000000000000000e+02,0.000000000000000000e+00
4.658203125000000000e+01,4.658203125000000000e+01,1.240000000000000000e+02,3.000000000000000000e+01
6.708984375000000000e+01,4.658203125000000000e+01,8.800000000000000000e+01,1.000000000000000000e+02
8.583984375000000000e+01,4.658203125000000000e+01,8.100000000000000000e+01,1.760000000000000000e+02
8.583984375000000000e+01,4.658203125000000000e+01,8.200000000000000000e+01,1.760000000000000000e+02
8.583984375000000000e+01,4.658203125000000000e+01,8.200000000000000000e+01,1.760000000000000000e+02
8.583984375000000000e+01,4.658203125000000000e+01,8.100000000000000000e+01,1.760000000000000000e+02
8.583984375000000000e+01,4.658203125000000000e+01,8.200000000000000000e+01,1.760000000000000000e+02
8.583984375000000000e+01,4.658203125000000000e+01,8.200000000000000000e+01,1.760000000000000000e+02
8.583984375000000000e+01,4.658203125000000000e+01,8.100000000000000000e+01,1.760000000000000000e+02
8.583984375000000000e+01,4.658203125000000000e+01,8.200000000000000000e+01,1.760000000000000000e+02
8.583984375000000000e+01,4.658203125000000000e+01,8.200000000000000000e+01,1.760000000000000000e+02
8.583984375000000000e+01,4.658203125000000000e+01,8.100000000000000000e+01,1.760000000000000000e+02
8.583984375000000000e+01,4.658203125000000000e+01,8.200000000000000000e+01,1.760000000000000000e+02
8.583984375000000000e+01,4.658203125000000000e+01,8.200000000000000000e+01,1.760000000000000000e+02
8.583984375000000000e+01,4.658203125000000000e+01,8.200000000000000000e+01,1.760000000000000000e+02
8.583984375000000000e+01,4.658203125000000000e+01,8.200000000000000000e+01,1.760000000000000000e+02
8.583984375000000000e+01,4.658203125000000000e+01,8.200000000000000000e+01,1.760000000000000000e+02
8.583984375000000000e+01,4.658203125000000000e+01,8.100000000000000000e+01,1.760000000000000000e+02
8.583984375000000000e+01,4.658203125000000000e+01,8.100000000000000000e+01,1.760000000000000000e+02
8.583984375000000000e+01,4.658203125000000000e+01,8.200000000000000000e+01,1.760000000000000000e+02
8.583984375000000000e+01,4.658203125000000000e+01,8.200000000000000000e+01,1.760000000000000000e+02
8.583984375000000000e+01,4.658203125000000000e+01,8.200000000000000000e+01,1.760000000000000000e+02
8.583984375000000000e+01,4.658203125000000000e+01,8.200000000000000000e+01,1.760000000000000000e+02
8.583984375000000000e+01,4.658203125000000000e+01,8.200000000000000000e+01,1.760000000000000000e+02
8.583984375000000000e+01,4.658203125000000000e+01,8.200000000000000000e+01,1.760000000000000000e+02
8.583984375000000000e+01,4.658203125000000000e+01,8.200000000000000000e+01,1.760000000000000000e+02
8.583984375000000000e+01,4.658203125000000000e+01,8.100000000000000000e+01,1.760000000000000000e+02
8.583984375000000000e+01,4.658203125000000000e+01,8.100000000000000000e+01,1.760000000000000000e+02
8.583984375000000000e+01,4.658203125000000000e+01,8.200000000000000000e+01,1.760000000000000000e+02
8.583984375000000000e+01,4.658203125000000000e+01,8.100000000000000000e+01,1.760000000000000000e+02
8.583984375000000000e+01,4.658203125000000000e+01,8.200000000000000000e+01,1.760000000000000000e+02
8.583984375000000000e+01,4.658203125000000000e+01,8.100000000000000000e+01,1.760000000000000000e+02
8.583984375000000000e+01,4.658203125000000000e+01,8.100000000000000000e+01,1.760000000000000000e+02
8.583984375000000000e+01,4.658203125000000000e+01,8.200000000000000000e+01,1.760000000000000000e+02
8.583984375000000000e+01,4.658203125000000000e+01,8.200000000000000000e+01,1.760000000000000000e+02
8.583984375000000000e+01,4.658203125000000000e+01,8.200000000000000000e+01,1.760000000000000000e+02
8.583984375000000000e+01,4.658203125000000000e+01,8.200000000000000000e+01,1.760000000000000000e+02
8.583984375000000000e+01,4.658203125000000000e+01,8.200000000000000000e+01,1.760000000000000000e+02
8.583984375000000000e+01,4.658203125000000000e+01,8.100000000000000000e+01,1.760000000000000000e+02
8.583984375000000000e+01,4.658203125000000000e+01,8.200000000000000000e+01,1.760000000000000000e+02
8.583984375000000000e+01,4.658203125000000000e+01,8.200000000000000000e+01,1.760000000000000000e+02
8.583984375000000000e+01,4.658203125000000000e+01,8.100000000000000000e+01,1.760000000000000000e+02
8.583984375000000000e+01,4.658203125000000000e+01,8.200000000000000000e+01,1.760000000000000000e+02
